# in_testing: False
# method: euler
# panel: Control
# simulation_clock: 0.05000000000000000278
# C: 0.00050000000000000001
# E_leak: -70
# theta: -50
# v_reset: -55
# g_L: 0.00000002500000000000
# g_ampa: 0.00000000005000000000
# g_gaba: 0.00000000004000000000
# g_nmda: 0.00000000090000000000
# tau_ampa_ms: 2
# tau_gaba_ms: 5
# tau_nmda_rise: 2
# tau_nmda_decay: 100
# up_state: {'N': 0, 'nu': 0, 'N_nmda': 1, 'nu_nmda': 1}
# down_state: {'N_E': 100, 'gamma': 4, 'nu': 10, 'N_nmda': 10, 'nu_nmda': 2}
# smoothened_rate_width: 10
# pannel: scan_nu_nmda
N,v_steady,g_nmda_steady,x_nmda_steady,s_nmda_steady,v_mean,v_var,g_nmda_mean,g_nmda_var,x_nmda_mean,x_nmda_var,s_nmda_mean,s_nmda_var,corr_coef_x_s,i_nmda_mean,i_nmda_var,mean_rate,num_spikes,mean_isi,std_isi,cv_isi
37,-69.91142578291373865795,0.03167372718304905382,0.07399999999999973266,0.78723404255316731248,-69.88726699005007958476,0.01537068765505185397,0.03100009326539967733,0.00002298905818441145,0.09684210898626052777,0.04873421734708092978,0.76943400091307112554,0.01424981414691852723,0.27279377551856098805,-0.00216652817973524668,0.00000011241699147081,0.00000000000000000000,0,,,
38,-69.91092505048597161021,0.03185301490878467839,0.07599999999999973443,0.79166666666664298191,-69.89104985024067673294,0.01494121734032911528,0.02992674288254787776,0.00003285399577539287,0.09021957033772844137,0.04863887157539213690,0.74258603552463653408,0.01974440155498736679,0.29113360301710999867,-0.00209136962701639327,0.00000015944220928826,0.00000000000000000000,0,,,
39,-69.91044473491329824810,0.03202499477333373146,0.07799999999999973621,0.79591836734691556732,-69.88906019856975149196,0.01377264231120274574,0.03083199064392956254,0.00002657880622924594,0.10106628447910703805,0.05314349065915642545,0.76528138590203798053,0.01636280431395525925,0.28658480686494941514,-0.00215479500202400915,0.00000012976641981739,0.00000000000000000000,0,,,
40,-69.90998361242935743576,0.03219010466103736784,0.07999999999999972411,0.79999999999997728484,-69.89013360562074694826,0.01365535863070448629,0.03033807924580121662,0.00003018270767433477,0.09684210904885331983,0.05083318779600282805,0.75344322611612346563,0.01893716607450058112,0.27141799099423935537,-0.00212056647471748835,0.00000014807604520323,0.00000000000000000000,0,,,
41,-69.90954055515388176900,0.03234874815745549664,0.08199999999999972589,0.80392156862742869539,-69.90230579374201624887,0.01217832052907624578,0.02639839822948623210,0.00007751087003701545,0.07146429430980986985,0.03492767368772588948,0.65643593249149845281,0.04782538307344352813,0.23184645463199468618,-0.00184576512094055171,0.00000037873437720190,0.00000000000000000000,0,,,
42,-69.90911452188190366996,0.03250129784308101316,0.08399999999999972766,0.80769230769228594902,-69.89031339558189870331,0.01433655293433197357,0.03012091505523377399,0.00003133292211116880,0.08842171124817437000,0.04258594897016908243,0.74778089175252970833,0.01944024580988672549,0.27177565261785607831,-0.00210519964169015531,0.00000015327012755672,0.00000000000000000000,0,,,
43,-69.90870454991458871064,0.03264809821465201878,0.08599999999999972944,0.81132075471695974667,-69.88922469813029181296,0.01566792280152229377,0.03033965076223475374,0.00002353535166089202,0.08503557052807302064,0.04550419416850468024,0.75289312120105023052,0.01422282277252865865,0.25003128582413808312,-0.00212026716594846017,0.00000011435843167961,0.00000000000000000000,0,,,
44,-69.90830974779706252775,0.03278946828227539967,0.08799999999999973122,0.81481481481479389739,-69.90233068539420457910,0.01460550936228787247,0.02601428632914810218,0.00009484260093514911,0.07157765480300519456,0.03840555412194564949,0.64623825419719382879,0.05874069397675317494,0.24758052243423120387,-0.00181846085887267636,0.00000046383558151933,0.00000000000000000000,0,,,
45,-69.90792928884762602593,0.03292570388357332622,0.08999999999999973299,0.81818181818179758213,-69.88770920576419598547,0.01539376934998494366,0.03088986653306803262,0.00001877449506772875,0.08721825130657730185,0.04429426722633256902,0.76655845636857111725,0.01140999266412702322,0.23287904657116095808,-0.00215872731923801107,0.00000009134050111274,0.00000000000000000000,0,,,
46,-69.90756240537976395899,0.03305707975018113559,0.09199999999999973477,0.82142857142855119079,-69.89427730860627718812,0.01551249512059968416,0.02869130585935146180,0.00003363822446798137,0.07791821037078135170,0.04058973712636952669,0.71218326744791471405,0.02047382464605614419,0.29399563980019444154,-0.00200520566716952571,0.00000016375802855422,0.00000000000000000000,0,,,
47,-69.90720838353156807443,0.03318385135697521360,0.09399999999999972267,0.82456140350875206657,-69.89341896638644868744,0.01217996085562156675,0.02953569749209873987,0.00004463058367706025,0.08842104965469364808,0.04649574428108590313,0.73387091519183822452,0.02764790169857803473,0.20589437659597578656,-0.00206472885046384827,0.00000021828263396667,0.00000000000000000000,0,,,
48,-69.90686655862992893162,0.03330625658022164787,0.09599999999999972444,0.82758620689653217273,-69.88988452153964203717,0.01495183690736536473,0.03033533300945074132,0.00002525301573666836,0.08633414148641066488,0.04210500523630139602,0.75283512249317230403,0.01531768820728915403,0.25955218753508024765,-0.00211999998556670118,0.00000012282565614128,0.00000000000000000000,0,,,
